name,model,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,torque_val,seats,selling_price
volkswagen,polo_diesel_trendline_1.2l,2013,80000,diesel,manual,thirdowner,22.07,1199.0,73.9,180.0,5.0,350000
toyota,innova_crysta_2.4_zx_mt_bsiv,2017,33019,diesel,manual,firstowner,13.68,2393.0,147.8,343.0,7.0,1748999
hyundai,eon_era_plus,2012,38000,petrol,manual,firstowner,21.1,814.0,55.2,74.5,5.0,244000
hyundai,verna_1.6_sx,2012,100000,diesel,manual,secondowner,22.32,1582.0,126.32,259.8,5.0,360000
hyundai,santro_xing_gls,2009,77000,petrol,manual,firstowner,17.92,1086.0,62.1,96.1,5.0,150000
toyota,etios_gd,2014,250000,diesel,manual,firstowner,23.59,1364.0,67.04,170.0,5.0,550000
mahindra,tuv_300_t10,2018,50000,diesel,manual,secondowner,18.49,1493.0,100.0,240.0,7.0,775000
maruti,wagon_r_lxi_bs_iv,2015,50000,petrol,manual,secondowner,20.51,998.0,67.04,90.0,5.0,320000
mahindra,bolero_2011-2019_di_4wd_non_ac,2012,80000,diesel,manual,secondowner,13.6,2523.0,63.0,180.0,8.0,320000
chevrolet,beat_diesel_lt_option,2014,76000,diesel,manual,secondowner,25.44,936.0,56.3,142.5,5.0,170000
fiat,avventura_power_up_1.3_emotion,2015,96500,diesel,manual,firstowner,20.5,1248.0,91.72,209.0,5.0,425000
maruti,swift_lxi,2020,1000,petrol,manual,firstowner,21.21,1197.0,81.8,113.0,5.0,445000
maruti,alto_800_lxi,2014,25000,petrol,manual,firstowner,22.74,796.0,47.3,69.0,5.0,250000
maruti,alto_lxi,2011,40000,petrol,manual,firstowner,19.7,796.0,46.3,62.0,5.0,155000
hyundai,eon_d_lite_plus,2014,62000,petrol,manual,firstowner,21.1,814.0,55.2,74.5,5.0,180000
renault,duster_110ps_diesel_rxl_amt,2017,50000,diesel,automatic,firstowner,19.6,1461.0,108.45,245.0,5.0,850000
mahindra,xylo_e4_bs_iv,2010,60000,diesel,manual,secondowner,14.0,2498.0,112.0,260.0,7.0,250000
maruti,800_std_bsii,2004,46000,petrol,manual,fourthowner,16.1,796.0,37.0,59.0,4.0,75000
maruti,alto_800_base,2016,40000,petrol,manual,firstowner,22.74,796.0,47.3,69.0,5.0,220000
maruti,alto_lxi,2012,50000,petrol,manual,secondowner,19.7,796.0,46.3,62.0,5.0,200000
hyundai,i20_2015-2017_sportz_1.4_crdi,2014,70100,diesel,manual,firstowner,22.54,1396.0,88.73,219.7,5.0,484999
mahindra,bolero_di_non_ac_bsiii,2010,300000,diesel,manual,thirdowner,13.6,2523.0,63.0,180.0,7.0,320000
