name,model,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,torque_val,seats,selling_price
maruti,swift_dzire_vdi,2014,145500,4,1,5,23.4,1248.0,74.0,190.0,5.0,450000
skoda,rapid_1.5_tdi_ambition,2014,120000,4,1,4,21.14,1498.0,103.52,250.0,5.0,370000
honda,city_2017-2020_exi,2006,140000,3,1,3,17.7,1497.0,78.0,12.7,5.0,158000
hyundai,i20_sportz_diesel,2010,127000,4,1,5,23.0,1396.0,90.0,22.4,5.0,225000
maruti,swift_vxi_bsiii,2007,120000,3,1,5,16.1,1298.0,88.2,11.5,5.0,130000
hyundai,xcent_1.2_vtvt_e_plus,2017,45000,3,1,5,20.14,1197.0,81.86,113.75,5.0,440000
maruti,wagon_r_lxi_duo_bsiii,2007,175000,2,1,5,24.22,1061.0,57.5,7.8,5.0,96000
maruti,800_dx_bsii,2001,5000,3,1,4,16.1,796.0,37.0,59.0,4.0,45000
toyota,etios_vxd,2011,90000,4,1,5,23.59,1364.0,67.1,170.0,5.0,350000
ford,figo_diesel_celebration_edition,2013,169000,4,1,5,20.0,1399.0,68.1,160.0,5.0,200000
renault,duster_110ps_diesel_rxl,2014,68000,4,1,4,19.01,1461.0,108.45,248.0,5.0,500000
maruti,zen_lx,2005,100000,3,1,4,17.3,993.0,60.0,78.0,5.0,92000
maruti,swift_dzire_vdi,2009,140000,4,1,4,19.3,1248.0,73.9,190.0,5.0,280000
maruti,swift_1.3_vxi,2007,80000,3,1,4,,,,,,200000
maruti,wagon_r_lxi_minor,2009,90000,3,1,4,18.9,1061.0,67.0,84.0,5.0,180000
mahindra,kuv_100_mfalcon_g80_k8_5str,2016,40000,3,1,5,18.15,1198.0,82.0,115.0,5.0,400000
maruti,ertiga_shvs_vdi,2016,70000,4,1,4,24.52,1248.0,88.5,200.0,7.0,778000
hyundai,i20_1.4_crdi_asta,2012,53000,4,1,4,23.0,1396.0,90.0,22.4,5.0,500000
maruti,alto_lx,2002,80000,3,1,4,19.7,796.0,46.3,62.0,5.0,150000
hyundai,i20_2015-2017_asta_1.4_crdi,2016,100000,4,1,5,22.54,1396.0,88.73,219.7,5.0,680000
mahindra,verito_1.5_d4_bsiii,2011,100000,4,1,4,21.0,1461.0,64.1,160.0,5.0,174000
honda,wr-v_i-dtec_vx,2017,50000,4,1,5,25.5,1498.0,98.6,200.0,5.0,950000
maruti,swift_dzire_zdi,2015,40000,4,1,5,26.59,1248.0,74.0,190.0,5.0,525000
maruti,sx4_zdi,2012,72000,4,1,5,21.5,1248.0,88.8,200.0,5.0,600000
tata,tigor_2017-2020_xz,2018,35000,3,1,5,20.3,1199.0,83.81,114.0,5.0,500000
maruti,baleno_delta_1.2,2016,45000,3,1,5,21.4,1197.0,83.1,115.0,5.0,575000
maruti,alto_800_lxi,2017,28000,3,1,5,24.7,796.0,47.3,69.0,5.0,275000
chevrolet,enjoy_tcdi_ltz_7_seater,2013,70000,4,1,5,18.2,1248.0,73.8,172.5,7.0,300000
maruti,wagon_r_lxi_minor,2009,120000,3,1,5,18.9,1061.0,67.0,84.0,5.0,220000
maruti,omni_e_mpi_std_bs_iv,2018,25000,3,1,5,16.8,796.0,34.2,59.0,8.0,254999
maruti,vitara_brezza_ldi_option,2017,70000,4,1,5,24.3,1248.0,88.5,200.0,5.0,670000
fiat,palio_1.2_elx,2003,50000,3,1,4,,,,,,70000
maruti,omni_8_seater_bsiv,2012,35000,3,1,4,14.0,796.0,35.0,6.1,5.0,150000
hyundai,i20_1.2_asta_dual_tone,2018,2388,3,1,5,18.6,1197.0,81.83,114.7,5.0,730000
maruti,vitara_brezza_ldi,2017,16200,4,1,5,24.3,1248.0,88.5,200.0,5.0,650000
maruti,alto_800_cng_lxi_optional,2019,10000,1,1,4,46.815999999999995,796.0,40.3,60.0,4.0,330000
maruti,alto_k10_vxi_airbag,2019,15000,3,1,5,23.95,998.0,67.1,90.0,5.0,366000
hyundai,verna_vtvt_1.6_sx_option,2019,5000,3,1,5,17.0,1591.0,121.3,151.0,5.0,1149000
datsun,go_d,2016,42000,3,1,5,20.63,1198.0,67.0,104.0,5.0,150000
tata,safari_dicor_2.2_lx_4x2,2011,60000,4,1,4,13.93,2179.0,138.03,320.0,7.0,425000
maruti,800_std,2012,76000,3,1,5,16.1,796.0,37.0,59.0,4.0,150000
jeep,compass_1.4_limited_plus_bsiv,2019,5000,3,2,5,16.0,1368.0,160.77,250.0,5.0,2100000
honda,city_i_vtec_vx,2018,28900,3,1,5,17.8,1497.0,117.3,145.0,5.0,925000
honda,city_v_mt,2013,86300,3,1,5,16.8,1497.0,116.3,146.0,5.0,425000
maruti,swift_dzire_vxi_at,2018,23300,3,2,5,18.5,1197.0,83.14,115.0,5.0,675000
maruti,vitara_brezza_vdi,2018,32600,4,1,5,24.3,1248.0,88.5,200.0,5.0,819999
maruti,alto_k10_vxi,2018,10300,3,1,5,23.95,998.0,67.05,90.0,5.0,390000
toyota,fortuner_4x4_mt,2014,77000,4,1,5,12.55,2982.0,168.5,343.0,7.0,1500000
toyota,innova_2.5_g_(diesel)_7_seater_bs_iv,2013,99000,4,1,5,12.99,2494.0,100.0,200.0,7.0,700000
mercedesbenz,b_class_b180,2014,27800,4,2,4,14.8,2143.0,120.7,200.0,5.0,1450000
honda,amaze_s_diesel,2015,49800,4,1,5,24.7,1498.0,98.63,200.0,5.0,425000
mitsubishi,pajero_sport_4x4,2013,151000,4,1,5,13.5,2477.0,175.56,400.0,7.0,1090000
honda,city_i_dtec_s,2015,54700,4,1,5,26.0,1498.0,98.6,200.0,5.0,600000
maruti,ciaz_zeta,2018,64000,3,1,5,20.65,1462.0,103.25,138.0,5.0,850000
honda,jazz_vx_diesel,2015,63000,4,1,5,27.3,1498.0,98.6,200.0,5.0,525000
toyota,innova_crysta_2.8_zx_at_bsiv,2016,127700,4,2,4,11.36,2755.0,171.5,360.0,7.0,1650000
toyota,innova_2.5_g_(diesel)_7_seater,2016,99000,4,1,5,12.99,2494.0,100.6,200.0,7.0,950000
audi,a6_2.0_tdi_technology,2013,33900,4,2,4,17.68,1968.0,174.33,380.0,5.0,1750000
toyota,corolla_altis_1.8_vl_cvt,2018,25000,3,2,5,14.28,1798.0,138.03,173.0,5.0,1590000
audi,a6_2.0_tdi_design_edition,2013,50000,4,2,5,18.53,1968.0,187.74,400.0,5.0,1689999
mercedesbenz,new_c-class_220_cdi_at,2013,59000,4,2,5,14.84,2143.0,170.0,400.0,5.0,1425000
tata,manza_elan_quadrajet_bs_iv,2011,120000,4,1,5,21.12,1248.0,88.8,200.0,5.0,265000
hyundai,i10_magna,2011,110000,3,1,3,20.36,1197.0,78.9,111.7,5.0,190000
hyundai,i20_asta_1.4_crdi,2013,60000,4,1,5,21.27,1396.0,88.76,219.6,5.0,425000
maruti,swift_dzire_zdi,2015,147000,4,1,4,26.59,1248.0,74.0,190.0,5.0,630000
ford,figo_1.2p_titanium_mt,2017,25000,3,1,3,18.16,1196.0,86.8,112.0,5.0,600000
maruti,baleno_delta_1.2,2019,30000,3,1,5,21.4,1197.0,83.1,115.0,5.0,650000
volkswagen,ameo_1.5_tdi_highline_16_alloy,2016,40000,4,1,5,22.0,1498.0,108.495,250.0,5.0,540000
honda,city_i_dtec_vx,2015,135000,4,1,5,25.1,1498.0,98.6,200.0,5.0,630000
maruti,wagon_r_amt_vxi,2018,30000,3,2,5,20.51,998.0,67.0,90.0,5.0,448000
volkswagen,ameo_1.5_tdi_comfortline,2017,80000,4,1,5,21.66,1498.0,108.62,250.0,5.0,500000
maruti,vitara_brezza_vdi,2016,70000,4,1,5,24.3,1248.0,88.5,200.0,5.0,745000
maruti,vitara_brezza_zdi_plus_amt,2019,9850,4,2,5,24.3,1248.0,88.5,200.0,5.0,1025000
hyundai,i10_magna,2011,60000,3,1,4,20.36,1197.0,78.9,111.7,5.0,235000
maruti,swift_vdi_deca,2016,70000,4,1,5,25.2,1248.0,74.0,190.0,5.0,630000
toyota,fortuner_4x4_mt,2015,78000,4,1,4,12.55,2982.0,168.5,343.0,7.0,1700000
maruti,swift_star_vdi,2013,120000,4,1,4,22.9,1248.0,74.0,190.0,5.0,450000
maruti,ertiga_zxi,2012,120000,3,1,4,16.02,1373.0,93.7,130.0,7.0,450000
tata,indica_dls,2003,70000,4,1,5,,,,,,50000
volkswagen,vento_diesel_highline,2013,170000,4,1,5,20.54,1598.0,103.6,250.0,5.0,450000
toyota,innova_2.5_vx_(diesel)_8_seater,2016,140000,4,1,5,12.99,2494.0,100.6,200.0,8.0,1200000
ford,ecosport_1.5_tdci_titanium_plus_bsiv,2015,90000,4,1,5,22.77,1498.0,98.59,205.0,5.0,610000
bmw,x1_sdrive20i_xline,2016,30000,3,2,4,15.71,1998.0,189.0,280.0,5.0,2500000
maruti,celerio_zxi_mt_bsiv,2017,10000,3,1,5,23.1,998.0,67.04,90.0,5.0,484999
datsun,go_a_petrol,2016,49000,3,1,5,19.02,1198.0,67.05,104.0,5.0,275000
maruti,alto_800_vxi_bsiv,2016,32000,3,1,5,24.7,796.0,47.3,69.0,5.0,315000
maruti,alto_800_lxi_bsiv,2016,38000,3,1,5,24.7,796.0,47.3,69.0,5.0,275000
maruti,swift_vdi_bsiv_w_abs,2015,78000,4,1,5,,,,,,475000
